Wall time,Step,Value
1509639606.082475,24,0.5666667222976685
1509639620.001099,56,0.6333334445953369
1509639621.302615,59,0.7500000596046448
1509639778.891502,402,0.6833333969116211
1509639862.681107,588,0.5833333730697632
1509640009.722924,904,0.6500000953674316
1509640093.960141,1090,0.6666667461395264
1509640150.478189,1210,0.5833333730697632
1509640181.199353,1279,0.5500000715255737
1509640412.59355,1782,0.7166666984558105
1509640525.485011,2025,0.7666667103767395
1509640565.414482,2111,0.6500000953674316
1509640658.105037,2312,0.6333334445953369
1509640786.34735,2594,0.6166667938232422
1509640853.858449,2739,0.6833333969116211
1509640911.313515,2865,0.5666667222976685
1509640916.190004,2876,0.6666666865348816
1509641052.358573,3172,0.783333420753479
1509641099.0793,3274,0.7666667103767395
1509641120.386584,3318,0.6666667461395264
1509641120.835213,3319,0.6833333969116211
1509641258.846352,3619,0.7000000476837158
1509641315.621306,3743,0.6500000357627869
1509641316.058171,3744,0.7000000476837158
1509641319.615967,3752,0.7333333492279053
1509641326.733735,3768,0.6666666865348816
1509641363.307426,3847,0.7500000596046448
1509641432.342873,3999,0.7000000476837158
1509641443.222852,4020,0.73333340883255
1509641917.842436,5053,0.6166667342185974
1509642166.509741,5596,0.7000000476837158
1509642248.266099,5773,0.550000011920929
1509642448.254723,6205,0.6000000238418579
1509642506.487296,6333,0.6333333849906921
1509642755.182242,6875,0.7166666984558105
1509642896.517286,7183,0.7500000596046448
1509642918.571674,7229,0.8000000715255737
1509642973.346597,7349,0.6166667342185974
1509643143.525144,7719,0.6333333253860474
1509643189.945412,7820,0.6833333969116211
1509643372.783826,8218,0.7666667699813843
1509643450.470058,8390,0.8833333849906921
1509643690.655415,8910,0.7166667580604553
1509643907.308411,9384,0.6000000238418579
1509643972.165025,9523,0.7666667103767395
1509643980.591576,9542,0.6500000953674316
1509644022.705872,9633,0.6666667461395264
1509644028.941035,9647,0.75
1509644116.853154,9838,0.7666667103767395
1509644168.667026,9951,0.6500000357627869
1509644347.55258,10340,0.783333420753479
1509644364.907538,10379,0.7000000476837158
1509644449.225167,10562,0.7000000476837158
1509644463.007861,10593,0.7333333492279053
1509644504.282237,10682,0.6000000238418579
1509644562.813677,10807,0.7000000476837158
1509644577.51202,10840,0.7333333492279053
1509644620.769476,10934,0.6833333969116211
1509644642.472504,10983,0.8000000715255737
1509644652.399705,11002,0.6333334445953369
1509644750.418033,11216,0.6333333849906921
1509644765.526082,11250,0.7666667103767395
1509644982.687118,11721,0.7166666984558105
1509645251.259435,12305,0.7000001072883606
1509645338.894654,12499,0.8000000715255737
1509645384.019868,12597,0.7500000596046448
1509645391.731908,12611,0.73333340883255
1509645567.737002,12997,0.6500000953674316
1509645620.04127,13108,0.7500000596046448
1509645651.183067,13178,0.7000000476837158
1509645711.978566,13308,0.7666667699813843
1509645989.657786,13912,0.7500000596046448
1509646098.760852,14151,0.6666666865348816
1509646148.832136,14260,0.6333333849906921
1509646182.302096,14332,0.7833333611488342
1509646253.060393,14488,0.6000000834465027
1509646256.166826,14495,0.6666667461395264
1509646280.311972,14546,0.6666667461395264
1509646321.403219,14635,0.73333340883255
1509646456.438921,14929,0.73333340883255
1509646458.204902,14933,0.7666667103767395
1509646502.393764,15029,0.7000000476837158
1509646537.17814,15104,0.7666667103767395
1509646562.922146,15162,0.8000000715255737
1509646566.011857,15169,0.7500000596046448
1509646571.778444,15182,0.73333340883255
1509646603.670702,15250,0.7000000476837158
1509646715.559001,15495,0.6833333969116211
1509646720.372067,15502,0.7000000476837158
1509646781.43445,15636,0.6833333969116211
1509646870.731728,15830,0.7166666984558105
1509646893.412906,15881,0.7000000476837158
1509646992.43705,16097,0.6666666865348816
1509647049.004845,16217,0.6833333969116211
1509647200.568537,16547,0.6833333969116211
1509647242.589599,16638,0.7166666984558105
1509647314.538122,16796,0.8000000715255737
1509647344.508447,16860,0.8000000715255737
1509647610.777521,17438,0.6666667461395264
1509647621.956935,17463,0.8000000715255737
1509647665.2324,17557,0.75
1509647667.917172,17563,0.6666667461395264
1509647671.480761,17571,0.783333420753479
1509647725.96389,17690,0.7833333611488342
1509647766.658441,17778,0.7666667699813843
1509647876.671164,18015,0.6500000953674316
1509647902.80373,18074,0.7000000476837158
1509648142.162505,18595,0.8166667222976685
1509648538.853787,19455,0.7666667699813843
1509648563.471609,19507,0.8000000715255737
1509648564.361279,19509,0.8333333730697632
1509648666.964352,19733,0.6333333849906921
1509648687.358569,19779,0.6000000238418579
1509648737.403202,19888,0.6666667461395264
1509648742.298481,19899,0.8166667222976685
1509649098.539412,20672,0.6833333969116211
1509649150.340771,20785,0.6833333969116211
1509649269.833319,21043,0.6833333969116211
1509649383.614216,21292,0.533333420753479
1509649552.768791,21658,0.73333340883255
1509649902.057108,22416,0.6833333969116211
1509649906.492018,22426,0.7333333492279053
1509649960.562121,22544,0.6666667461395264
1509650049.119945,22736,0.7000000476837158
1509650065.096287,22772,0.6833333969116211
1509650144.897127,22945,0.5833333730697632
1509650426.289123,23556,0.7333333492279053
1509650479.384459,23672,0.783333420753479
1509650616.915756,23970,0.7666667103767395
1509650715.959235,24186,0.7000000476837158
1509650894.080513,24573,0.7500000596046448
1509650899.884173,24586,0.6333333849906921
1509651015.539191,24836,0.8333333730697632
