Wall time,Step,Value
1509914238.537935,24,0.6000000238418579
1509914252.384646,56,0.7666667103767395
1509914253.686202,59,0.46666669845581055
1509914326.237142,215,0.5666667222976685
1509914412.42965,402,0.6500000357627869
1509914495.448368,588,0.6333333849906921
1509914641.364002,904,0.6000000238418579
1509914689.009845,1008,0.5833333730697632
1509914724.9131,1090,0.6500000953674316
1509914781.269083,1210,0.7000000476837158
1509914811.48676,1279,0.8166667222976685
1509915023.377403,1742,0.6666667461395264
1509915040.895512,1782,0.7000000476837158
1509915152.507269,2025,0.6666667461395264
1509915191.799621,2111,0.6333334445953369
1509915283.43401,2312,0.7000000476837158
1509915410.538318,2594,0.6666667461395264
1509915477.135098,2739,0.73333340883255
1509915534.527355,2865,0.73333340883255
1509915539.326091,2876,0.6166667342185974
1509915674.932662,3172,0.6833333969116211
1509915721.345675,3274,0.7666667699813843
1509915742.26407,3318,0.8666667342185974
1509915742.708325,3319,0.7333333492279053
1509915880.129347,3619,0.7000000476837158
1509915936.075772,3743,0.8500000834465027
1509915936.516013,3744,0.783333420753479
1509915940.019306,3752,0.8333333730697632
1509915947.037107,3768,0.6833333969116211
1509915983.24059,3847,0.7833333611488342
1509916051.50566,3999,0.7666667699813843
1509916062.379767,4020,0.8500000834465027
1509916344.917389,4640,0.6833333969116211
1509916532.600446,5053,0.73333340883255
1509916715.293066,5455,0.7500000596046448
1509916778.833084,5596,0.6833333969116211
1509916860.149677,5773,0.6666667461395264
1509917057.905101,6205,0.7500000596046448
1509917116.287522,6333,0.8166667222976685
1509917361.990869,6875,0.7333333492279053
1509917424.035479,7009,0.7500000596046448
1509917502.054057,7183,0.7666667103767395
1509917524.051956,7229,0.7666667699813843
1509917578.223298,7349,0.8000000715255737
1509917747.038516,7719,0.783333420753479
1509917793.011057,7820,0.8000000715255737
1509917974.934014,8218,0.6833333969116211
1509918037.953024,8358,0.7500000596046448
1509918051.980219,8390,0.7166666984558105
1509918055.043458,8397,0.7500000596046448
1509918095.296864,8485,0.783333420753479
1509918289.83726,8910,0.8500000238418579
1509918505.323863,9384,0.8166667222976685
1509918569.515586,9523,0.8500000238418579
1509918577.919611,9542,0.8333333730697632
1509918619.473577,9633,0.8166667222976685
1509918625.590641,9647,0.7166666984558105
1509918711.44184,9835,0.6666667461395264
1509918712.751913,9838,0.7166666984558105
1509918763.917758,9951,0.7666667699813843
1509918818.558036,10072,0.7000000476837158
1509918935.4946,10327,0.8000000715255737
1509918941.201728,10340,0.8166667222976685
1509918958.294764,10379,0.783333420753479
1509919042.173231,10562,0.7666667103767395
1509919055.737636,10593,0.8166667222976685
1509919096.410184,10682,0.8166667222976685
1509919154.733451,10807,0.7500000596046448
1509919169.186321,10840,0.8166667222976685
1509919174.881111,10853,0.8666667342185974
1509919212.094853,10934,0.7666667103767395
1509919233.576804,10983,0.6500000357627869
1509919243.527342,11002,0.8333333730697632
1509919250.970895,11019,0.75
1509919273.814038,11071,0.8166667222976685
1509919340.665455,11216,0.7833333611488342
1509919355.582145,11250,0.7000000476837158
1509919434.262486,11422,0.8166667222976685
1509919570.181271,11721,0.7000000476837158
1509919743.940726,12101,0.8833333849906921
1509919824.869828,12282,0.8000000715255737
1509919825.308425,12283,0.7000000476837158
1509919836.887702,12305,0.8333333730697632
1509919884.468941,12410,0.6666667461395264
1509919923.607552,12499,0.8000000715255737
1509919930.998791,12512,0.9000000953674316
1509919968.26407,12597,0.8500000834465027
1509919976.017085,12611,0.8000000715255737
1509920149.934859,12997,0.8166667222976685
1509920201.865243,13108,0.8500000238418579
1509920232.574536,13178,0.7000000476837158
1509920292.81522,13308,0.8666667342185974
1509920297.173892,13318,0.7666667103767395
1509920451.484463,13659,0.783333420753479
1509920496.484015,13757,0.8166667222976685
1509920567.667825,13912,0.8000000715255737
1509920676.326733,14151,0.8666667342185974
1509920725.67267,14260,0.8833333849906921
1509920758.816827,14332,0.73333340883255
1509920828.807958,14488,0.7666667699813843
1509920831.854369,14495,0.8333333730697632
1509920837.924935,14505,0.7166666984558105
1509920855.840867,14546,0.8500000238418579
1509920897.099673,14635,0.8166667222976685
1509920957.818219,14770,0.8500000238418579
1509921031.067723,14929,0.8166667222976685
1509921032.827385,14933,0.8000000715255737
1509921076.500623,15029,0.8666666746139526
1509921110.932978,15104,0.8833333849906921
1509921136.370571,15162,0.8000000715255737
1509921139.415987,15169,0.7500000596046448
1509921145.12087,15182,0.8500000238418579
1509921176.466827,15250,0.833333432674408
1509921287.457175,15495,0.75
1509921292.193705,15502,0.8166667222976685
1509921352.549386,15636,0.8333333730697632
1509921363.544493,15661,0.7666667699813843
1509921441.163833,15830,0.8166667222976685
1509921463.470958,15881,0.7666667103767395
1509921561.423149,16097,0.9333333373069763
