Wall time,Step,Value
1509639423.471518,24,0.6923271417617798
1509639448.222201,56,0.6841596364974976
1509639450.552636,59,0.6905270218849182
1509639729.448014,402,0.6759243011474609
1509639877.509316,588,0.678981602191925
1509640135.854973,904,0.6134241819381714
1509640284.249117,1090,0.6287899017333984
1509640383.530174,1210,0.6123470067977905
1509640437.584224,1279,0.6702384948730469
1509640845.305445,1782,0.6309190988540649
1509641044.129368,2025,0.6302191019058228
1509641114.095826,2111,0.606600821018219
1509641277.316476,2312,0.6757932901382446
1509641503.915257,2594,0.5928045511245728
1509641623.10604,2739,0.5327907800674438
1509641724.761201,2865,0.6160902976989746
1509641733.412741,2876,0.4537341296672821
1509641973.869482,3172,0.5931674242019653
1509642056.707556,3274,0.5461202263832092
1509642094.273969,3318,0.6677570939064026
1509642095.060524,3319,0.5991917848587036
1509642338.704441,3619,0.6395165324211121
1509642438.775838,3743,0.5728434324264526
1509642439.55465,3744,0.6061609387397766
1509642445.847663,3752,0.6482173204421997
1509642458.419927,3768,0.6388863325119019
1509642523.168085,3847,0.5203205347061157
1509642645.147693,3999,0.5674936175346375
1509642664.409709,4020,0.582763671875
1509643501.942612,5053,0.6518777012825012
1509643941.518712,5596,0.6158426403999329
1509644085.995533,5773,0.5131312608718872
1509644438.984218,6205,0.5773098468780518
1509644542.597729,6333,0.5821653008460999
1509644981.473619,6875,0.6227512359619141
1509645231.636212,7183,0.5639723539352417
1509645270.394835,7229,0.5824698209762573
1509645367.747576,7349,0.5268163681030273
1509645669.319683,7719,0.5922627449035645
1509645751.330693,7820,0.5299700498580933
1509646074.839515,8218,0.5821754932403564
1509646213.050971,8390,0.5074944496154785
1509646637.729712,8910,0.588362991809845
1509647021.266799,9384,0.6807042956352234
1509647135.830184,9523,0.6435701847076416
1509647150.810359,9542,0.5525434017181396
1509647224.98883,9633,0.5855633020401001
1509647236.003384,9647,0.5845447778701782
1509647391.455064,9838,0.5472657680511475
1509647482.952995,9951,0.5774003863334656
1509647799.908267,10340,0.6033387184143066
1509647830.624092,10379,0.6207350492477417
1509647979.81203,10562,0.6410130262374878
